"type","url","status","indexable","in_sitemap","title","h1","words_approx","products","recommendation"
"page","https://medhub.ae/","200","yes","yes","Medical Equipment Supplier in Dubai | MedHub","Medical Equipment Supplier in Dubai","1048","","KEEP – homepage"
"page","https://medhub.ae/portable-oxygen-machine-in-dubai/","200","yes","yes","Best Portable Oxygen Machine in Dubai | Home & Travel","(none)","759","","KEEP"
"page","https://medhub.ae/oxygen-machine-in-dubai/","200","yes","yes","Best Oxygen Machine in Dubai | Home & Medical Use","(none)","704","","KEEP"
"page","https://medhub.ae/cpap-in-dubai/","200","yes","yes","Best CPAP in Dubai | Sleep Apnea Treatment","(none)","693","","KEEP"
"page","https://medhub.ae/bipap-in-dubai/","200","yes","yes","Best BiPAP in Dubai | Advanced Breathing Care","(none)","691","","KEEP"
"page","https://medhub.ae/oxygen-concentrator-in-dubai/","200","yes","yes","Best Oxygen Concentrator in Dubai | Home & Medical Use","(none)","726","","KEEP"
"page","https://medhub.ae/medical-equipment/","200","yes","yes","Trusted Medical Equipment | Certified Devices & Support","(none)","807","","KEEP URL – rebuild as About + ""Medical Equipment Suppliers in Dubai"""
"page","https://medhub.ae/compact-525-oxygen-concentrator/","200","yes","yes","Compact 525 Oxygen Concentrator - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","567","","301 → matching product or /product-category/buy-oxygen-concentrator/ (legacy 2024 page)"
"page","https://medhub.ae/%e2%81%a0sleep-apnea-machine-in-dubai/","200","yes","yes","Best Sleep Apnea Machine in Dubai for Home Use","(none)","966","","301 → /sleep-apnea-machine-in-dubai/ (slug has invisible U+2060 char)"
"page","https://medhub.ae/devilbiss-service-centre-in-dubai/","200","yes","yes","Authorized Devilbiss Service Centre in Dubai UAE Support Hub","(none)","326","","KEEP"
"page","https://medhub.ae/yith-compare/","200","yes","yes","Compare - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","1","","noindex, drop from sitemap"
"page","https://medhub.ae/payment-confirmation/","200","yes","yes","Payment Confirmation - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","256","","noindex, drop from sitemap"
"page","https://medhub.ae/refund-policy/","200","yes","yes","Refund and Return Policy - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","298","","KEEP"
"page","https://medhub.ae/cancellation-policy/","200","yes","yes","Cancellation Policy - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","269","","KEEP"
"page","https://medhub.ae/delivery-policy/","200","yes","yes","Delivery Policy - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","273","","KEEP"
"page","https://medhub.ae/privacy-policy/","200","yes","yes","Privacy Policy - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","472","","KEEP"
"page","https://medhub.ae/terms-conditions/","200","yes","yes","Terms & Conditions - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","484","","KEEP"
"page","https://medhub.ae/cookie-policy/","200","yes","yes","Cookie Policy - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","64","","KEEP"
"page","https://medhub.ae/multiple-shipments-policy-if-applicable/","200","yes","yes","Multiple Shipments Policy (if applicable) - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","22","","merge into /delivery-policy/ + 301"
"page","https://medhub.ae/device-on-rent/","200","yes","yes","Elementor #4307 - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","18","","301 → /product-category/medical-equipment-rental/ (thin Elementor stub)"
"page","https://medhub.ae/vacuaide-portable-suction-unit/","200","yes","yes","VacuAide Portable Suction Unit - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","429","","301 → matching rental product or /product-category/suction-machine/ (legacy)"
"page","https://medhub.ae/inogen-portable-oxygen-concentrator/","200","yes","yes","Inogen Portable Oxygen Concentrator - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","381","","301 → /brand/inogen/ (legacy duplicate)"
"page","https://medhub.ae/devilbiss-blue-cpap/","200","yes","yes","DeVilbiss BLUE CPAP - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","430","","301 → /product-category/cpap/ (legacy)"
"page","https://medhub.ae/contact-us-medhub/","200","yes","yes","Contact Us - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","59","","KEEP – fix broken contact form"
"page","https://medhub.ae/return-policy/","200","yes","yes","Return Policy - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","194","","301 → /refund-policy/ (duplicate)"
"page","https://medhub.ae/terms-and-conditions/","200","yes","yes","Terms and Conditions - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","807","","301 → /terms-conditions/ (duplicate)"
"page","https://medhub.ae/checkout/","302 → https://medhub.ae/shopping-cart/","yes","yes","","(none)","0","","KEEP – WooCommerce"
"page","https://medhub.ae/shop/","200","yes","yes","Shop - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","552","","KEEP – shop archive"
"page","https://medhub.ae/my-account/","200","no","yes","My account - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","Login/Register","79","","KEEP – WooCommerce"
"page","https://medhub.ae/order-tracking/","200","yes","yes","Order Tracking - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","43","","KEEP functional, noindex"
"page","https://medhub.ae/shopping-cart/","200","no","yes","Shopping Cart - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","172","","KEEP – WooCommerce"
"page","https://medhub.ae/compare/","200","yes","yes","Compare - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","134","","noindex, drop from sitemap"
"post","https://medhub.ae/enteral-feeding-pumps-in-dubai-medhub-uae-supplier/","200","yes","yes","Feeding Pumps in Dubai | Enteral Feeding | MedHub","Enteral Feeding Pumps in Dubai | MedHub UAE Supplier","1828","","KEEP URL – blog article"
"post","https://medhub.ae/oxygen-concentrator-in-dubai-how-it-works/","200","yes","yes","Oxygen Concentrator in Dubai: How It Works in 8 Simple Steps","How Does an Oxygen Concentrator Work? Pressure Swing Adsorption Explained / Oxygen Concentrator Working Principle: Pressure Swing Adsorption Explained","2851","","KEEP URL – blog article"
"post","https://medhub.ae/bipap-in-dubai-modes-explained/","200","yes","yes","BiPAP in Dubai: 4 Modes Made Easy, Quick Guide","BiPAP Modes Explained: What ST, S, T, and AVAPS Mean on Your Machine / BiPAP in Dubai: Modes Explained, What ST, S, T, and AVAPS Mean on Your Machine","1823","","KEEP URL – blog article"
"post","https://medhub.ae/pulse-oximeter-dubai/","200","yes","yes","Pulse Oximeter in Dubai: Complete Home Guide","Pulse Oximeter in Dubai: Complete Guide to Health Monitoring Devices for Home Use","936","","KEEP URL – blog article"
"post","https://medhub.ae/suction-machine-dubai/","200","yes","yes","Suction Machine in Dubai: Complete Home Care Guide","Suction Machine in Dubai: Complete Guide to Medical Suction &#038; Enteral Feeding Equipment","963","","KEEP URL – blog article"
"post","https://medhub.ae/cpap-masks-dubai/","200","yes","yes","CPAP Masks in Dubai: Complete Guide to the Right Fit","CPAP Masks Explained: Nasal, Nasal Pillow, and Full-Face: How to Choose the Right Fit","2243","","KEEP URL – blog article"
"post","https://medhub.ae/infusion-pump-in-dubai-complete-guide-to-iv-infusion-devices-for-home-clinical-use/","200","yes","yes","Infusion Pump in Dubai: Complete Guide to IV Infusion Devices for Home & Clinical Use - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","Infusion Pump in Dubai: Complete Guide to IV Infusion Devices for Home & Clinical Use","1174","","KEEP URL – blog article"
"post","https://medhub.ae/travel-cpap-machine-in-dubai-best-portable-cpap-devices-for-sleep-apnea-on-the-go/","200","yes","yes","Travel CPAP Machine in Dubai: Best Portable CPAP Devices for Sleep Apnea on the Go - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","Travel CPAP Machine in Dubai: Best Portable CPAP Devices for Sleep Apnea on the Go","1196","","KEEP URL – blog article"
"post","https://medhub.ae/medical-equipment-suppliers-in-dubai-complete-guide-to-oxygen-machines-cpap-respiratory-care/","200","yes","yes","Medical Equipment Suppliers in Dubai: Complete Guide to Oxygen Machines, CPAP & Respiratory Care - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","Medical Equipment Suppliers in Dubai: Complete Guide to Oxygen Machines, CPAP & Respiratory Care","1814","","KEEP URL – blog article"
"post","https://medhub.ae/portable-oxygen-machine-in-dubai-your-complete-buyers-guide/","200","yes","yes","Portable Oxygen Machine in Dubai: Your Complete Buyer's Guide - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","Portable Oxygen Machine in Dubai: Your Complete Buyer's Guide","1367","","KEEP URL – blog article"
"post","https://medhub.ae/bipap-in-dubai-your-complete-guide-to-bipap-machines-and-therapy/","200","yes","yes","BiPAP in Dubai: Your Complete Guide to BiPAP Machines and Therapy - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","BiPAP in Dubai: Your Complete Guide to BiPAP Machines and Therapy","2008","","KEEP URL – blog article"
"post","https://medhub.ae/cpap-in-dubai-your-complete-guide-to-sleep-apnea-treatment-and-cpap-machines/","200","yes","yes","CPAP in Dubai: Your Complete Guide to Sleep Apnea Treatment and CPAP Machines - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","CPAP in Dubai: Your Complete Guide to Sleep Apnea Treatment and CPAP Machines","2943","","KEEP URL – blog article"
